image_loc,smooth-or-featured_smooth_pred,smooth-or-featured_featured-or-disk_pred,smooth-or-featured_artifact_pred,disk-edge-on_yes_pred,disk-edge-on_no_pred,has-spiral-arms_yes_pred,has-spiral-arms_no_pred,bar_strong_pred,bar_weak_pred,bar_no_pred,bulge-size_dominant_pred,bulge-size_large_pred,bulge-size_moderate_pred,bulge-size_small_pred,bulge-size_none_pred,how-rounded_round_pred,how-rounded_in-between_pred,how-rounded_cigar-shaped_pred,edge-on-bulge_boxy_pred,edge-on-bulge_none_pred,edge-on-bulge_rounded_pred,spiral-winding_tight_pred,spiral-winding_medium_pred,spiral-winding_loose_pred,spiral-arm-count_1_pred,spiral-arm-count_2_pred,spiral-arm-count_3_pred,spiral-arm-count_4_pred,spiral-arm-count_more-than-4_pred,spiral-arm-count_cant-tell_pred,merging_none_pred,merging_minor-disturbance_pred,merging_major-disturbance_pred,merging_merger_pred
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000000.80+004200.0.png,[30.723865509033203],[11.890228271484375],[17.92437744140625],[2.2544021606445312],[32.75202941894531],[1.3809922933578491],[15.12698745727539],[1.4891104698181152],[2.3326973915100098],[30.25632667541504],[2.797307014465332],[6.731216907501221],[14.867950439453125],[6.819090366363525],[6.882012367248535],[47.799320220947266],[14.912291526794434],[1.0196925401687622],[2.975989818572998],[2.734724283218384],[10.014214515686035],[11.582015037536621],[7.413928508758545],[6.200497627258301],[2.9137983322143555],[7.311166286468506],[2.581765651702881],[1.6124064922332764],[1.4830968379974365],[9.81247329711914],[9.317819595336914],[1.8422162532806396],[1.013084053993225],[20.618181228637695]
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000103.04+011605.0.png,[90.44308471679688],[10.80966567993164],[20.582881927490234],[6.423295021057129],[40.53818893432617],[1.278566837310791],[47.58216857910156],[1.3128061294555664],[2.294024705886841],[54.34345626831055],[4.447310447692871],[28.595800399780273],[27.741357803344727],[5.264923572540283],[1.4780895709991455],[10.912308692932129],[49.08421325683594],[1.0519381761550903],[4.1746826171875],[5.028599739074707],[55.071353912353516],[9.716355323791504],[6.911807060241699],[3.441908597946167],[2.02901554107666],[15.286859512329102],[3.5380747318267822],[2.663900852203369],[4.010674476623535],[19.241722106933594],[83.51155090332031],[5.87047004699707],[1.2426122426986694],[1.123786211013794]
