image_loc,smooth-or-featured_smooth_pred,smooth-or-featured_featured-or-disk_pred,smooth-or-featured_artifact_pred,disk-edge-on_yes_pred,disk-edge-on_no_pred,has-spiral-arms_yes_pred,has-spiral-arms_no_pred,bar_strong_pred,bar_weak_pred,bar_no_pred,bulge-size_dominant_pred,bulge-size_large_pred,bulge-size_moderate_pred,bulge-size_small_pred,bulge-size_none_pred,how-rounded_round_pred,how-rounded_in-between_pred,how-rounded_cigar-shaped_pred,edge-on-bulge_boxy_pred,edge-on-bulge_none_pred,edge-on-bulge_rounded_pred,spiral-winding_tight_pred,spiral-winding_medium_pred,spiral-winding_loose_pred,spiral-arm-count_1_pred,spiral-arm-count_2_pred,spiral-arm-count_3_pred,spiral-arm-count_4_pred,spiral-arm-count_more-than-4_pred,spiral-arm-count_cant-tell_pred,merging_none_pred,merging_minor-disturbance_pred,merging_major-disturbance_pred,merging_merger_pred
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000607.14-054858.1.png,36.20032883,3.374288082,7.43890667,2.537424564,49.75287247,1.719872713,4.209355831,1.241747379,3.466126204,19.0640049,2.513978481,2.754479885,9.364671707,12.99934006,4.444499969,97.0995636,3.127935886,1.001884937,2.451526642,4.343881607,9.258331299,14.78314018,7.398095131,3.063748598,1.332004666,8.053684235,1.782757759,1.053916097,1.055598736,20.80761147,72.14060974,4.488798141,1.055321336,1.124424219
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000607.50-044954.9.png,18.38511086,5.387760639,5.715015888,4.231544495,3.438791275,1.807132006,4.072462082,1.37916553,2.596407175,18.78558159,1.212175131,2.638106585,7.00918293,7.505060196,31.28843307,1.087959051,10.58357906,29.97421074,1.504755259,6.61443615,3.432235241,5.653967381,4.160757065,3.472012758,1.578046322,7.128310204,1.842006207,1.625532627,1.11411643,14.80207253,51.7780304,8.102315903,2.060921907,1.093542576
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.38+022325.0.png,58.31841278,6.019650459,16.9307518,3.302381039,27.61448097,1.297842979,18.65856934,1.29325974,2.510603428,35.44713211,4.388715267,15.55885506,21.06550407,8.595013618,1.80567646,51.89634705,19.70967674,1.008823395,3.728215694,3.946938276,28.48917007,8.746868134,6.773238182,3.367521524,1.951901436,5.500817299,2.241099119,1.635198474,1.774086475,10.81417084,55.84540558,4.965213776,1.464340806,1.121709347
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.41-002219.6.png,1.417897463,81.1815033,1.916588783,1.544309139,77.13227844,92.4773941,1.063003659,2.55275321,7.493412018,7.275998116,1.019230962,2.860075951,55.40110397,68.51560974,1.304317117,1.508426905,4.874950886,2.133725643,4.54903698,6.184674263,46.99263763,2.188018322,6.601760864,4.440519333,1.010552287,97.8680954,1.07869184,1.000626802,1.000000834,1.115558982,48.13831711,6.363280296,2.410991907,1.045094132
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.42+115133.0.png,57.00905609,4.954678535,27.45854568,3.925935745,31.1650219,1.413676262,23.4851532,1.469579101,2.540639877,23.82458305,4.897823334,7.375021458,11.81121159,14.0329895,4.239162922,84.33409882,6.964016438,1.009942889,4.675310135,4.164767265,18.32172966,14.04902458,8.634084702,3.709094524,1.432493448,3.747095823,2.204503059,2.341755629,5.235118866,13.56956291,70.08718109,5.136859417,1.27639997,1.254345536
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.61-072401.4.png,54.53227997,19.58352852,7.5732131,10.9730587,7.797849178,1.657040596,16.39655876,1.436089754,3.955855846,48.98584747,2.64296174,28.84859467,21.84597397,4.87141037,1.993975401,1.243467331,41.29413986,6.2428298,2.625317574,2.017875671,65.28625488,9.378418922,4.516789436,2.905933857,2.937606573,54.22164154,2.809468269,1.627751589,1.683778405,31.06821632,57.90258789,6.031937599,1.123587608,1.420366526
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.71+143010.5.png,14.81297874,17.10010529,2.508296013,2.644590855,12.84849453,6.310805321,2.069952488,1.679162264,5.538217545,18.52816963,1.041135311,1.485741496,7.120902061,23.79546356,44.75339508,1.036059022,30.10583687,25.37859154,2.290694237,7.106975555,5.745042324,2.021491528,3.793151617,10.62171364,3.276830912,89.19744873,1.127674222,1.0067029,1.000348091,8.538377762,21.01371193,10.63947296,2.957790852,1.1472857
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000608.92-040925.1.png,9.060204506,8.296058655,1.903025866,2.060408592,21.15136909,6.11298418,1.634211183,1.157032013,6.685693741,27.71074867,1.129127502,5.169069767,16.98870087,23.13953209,10.4466238,1.227102757,56.96210861,4.598442078,2.257362366,3.687855721,11.80125713,4.716959953,4.345128059,3.639986277,1.750957131,55.17187119,1.324506402,1.006829381,1.000222325,13.6178875,46.12600708,12.73954105,2.251613855,1.033890367
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000609.05-015958.4.png,67.42572784,6.628520966,24.64162445,3.697188854,32.53440857,1.263306975,25.4888401,1.454150081,2.454253912,32.1857872,6.904816628,22.13216019,18.49028206,6.479534149,1.951993108,40.02696991,25.45167923,1.011093259,4.012607574,4.014198303,34.52602005,7.843953609,7.822040081,3.753534555,2.070430756,9.527772903,3.020085335,1.885789871,3.009294271,13.83367729,63.92551804,4.851228714,1.217241883,1.235328436
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000609.70+010223.4.png,44.58825302,7.435464382,4.691405773,5.398382664,20.70514488,2.142307758,7.831488132,1.155620575,5.410369873,43.16395187,1.193122745,2.552463055,14.66213894,29.59345627,4.828996658,1.497952104,72.52026367,3.612220049,1.709652543,8.057573318,20.022789,13.77709579,5.668359756,2.729160786,2.133281231,11.30967999,2.096086502,1.161210418,1.064900637,25.58769989,56.88385391,10.53360558,1.251960993,1.03615737
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000610.06+140103.4.png,45.51184464,9.028465271,7.807283878,3.450811386,5.918737888,1.428441048,13.85165215,1.393248677,3.491374969,50.93606567,5.635520458,27.48111343,14.30814362,4.726916313,2.158028126,2.456287861,22.46253777,1.86301899,2.827301502,2.282875538,38.85189438,4.483016491,3.609390974,5.475739956,4.515517235,8.806520462,1.858474731,1.15436995,1.183754921,13.82478905,25.60091209,5.09194994,3.621326208,1.187924385
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000610.32+005209.2.png,13.36436844,14.0615387,5.599569798,1.36476624,9.103113174,1.280875444,6.091388702,1.559640884,2.031287909,14.59186172,1.226027727,1.556123734,2.871953964,6.633487701,31.42529869,1.544265747,10.18220997,1.712250471,1.946696281,2.162442207,4.332803726,2.064911842,2.767202377,10.0363369,15.43347359,34.74123001,1.469915748,1.016850591,1.002958655,26.53307343,2.024931908,1.276978135,1.511017561,14.78556061
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000610.40+004056.3.png,39.65657806,3.102482796,8.015227318,3.097047567,44.58203888,1.567598343,6.29726696,1.391039491,3.429722786,17.45491028,6.333745003,4.47314167,7.102474213,9.195813179,2.516278267,83.92980194,12.10608482,1.001547813,1.99587059,3.878834009,17.12817574,13.92786789,8.062458038,2.762169838,1.600561142,13.04454994,1.906013489,1.044464827,1.110500574,21.99557304,77.20031738,4.474729538,1.06189549,1.05363214
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000610.56+005211.0.png,5.031147957,8.51128006,4.462270737,1.163725138,10.17845821,1.330590367,2.266870022,1.270721078,1.79179883,7.964728832,1.082632422,1.834651828,4.319200993,7.225924015,10.97180843,2.29178524,7.574267387,1.171812415,1.50295186,1.725482941,5.051023006,2.120221615,2.939946413,5.13531208,9.103610992,19.70811653,1.322632074,1.003287196,1.000337362,18.54588699,2.090215206,1.248187065,1.384397507,8.846513748
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000611.17-002319.5.png,44.96626663,8.574892998,14.22708988,3.554076672,32.04564285,1.331246495,11.03035355,1.267991304,3.076122284,35.21368408,2.260442734,14.78751945,19.91413307,6.315812111,3.019735336,17.32235909,38.37161636,1.026719332,2.5860672,3.499624252,24.30593109,9.12348938,6.535363197,2.965805054,2.411868095,25.28072929,2.387626171,1.428777456,1.34343648,15.99849129,19.4156723,2.569856644,1.038124204,3.148952961
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000611.39+010222.4.png,18.00889397,22.5109272,2.840816021,6.109932423,21.49487495,13.49382019,2.055259705,1.820232391,9.646156311,21.60476303,1.040382981,1.818845987,23.44632912,57.32135773,11.72050285,1.089258432,25.8961792,33.15525818,1.900162458,13.52747345,23.28208542,3.337626219,5.313577175,6.868466377,1.512928367,85.66749573,1.370491862,1.088743448,1.001795292,10.07692242,62.30724716,9.740934372,1.388714552,1.31044805
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000611.68+134801.8.png,40.03354263,22.41769791,3.726067305,35.56052017,3.159880638,3.303904057,6.838604927,1.553450584,5.641319275,21.88453674,1.63689065,3.046716452,7.361789227,13.69305611,19.85678101,1.030945301,9.375161171,72.66171265,2.016566038,5.773416042,4.641850948,10.23252296,4.75628376,2.724757671,2.942678213,24.02988243,2.74522543,3.414949894,2.289490223,35.53895569,80.66000366,7.761582851,1.099564791,1.089167833
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000612.18-010129.5.png,33.51964188,4.097509384,12.52685642,2.258612633,56.35912323,1.349240184,5.728833199,1.102683306,2.120811939,24.72816277,2.755509377,18.59848785,21.71885681,3.536896467,1.354623795,85.81972504,6.465754509,1.000470519,2.512140274,3.700889349,24.25333214,8.777383804,5.564374447,2.297040462,1.350428224,7.988365173,1.305377245,1.068793297,1.070842385,13.14063358,68.82622528,3.927159548,1.201187253,1.026587963
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000612.76+110928.1.png,93.37515259,10.74363422,24.68799019,6.324308872,57.1254425,1.257191896,50.78876877,1.394469857,2.178353786,50.46045685,5.708540916,27.31259537,33.83586884,4.790895462,1.420385003,42.29676056,39.90369034,1.006520867,5.543902874,4.93483448,52.25176239,9.587830544,7.828841686,3.726575851,1.829419374,17.65042496,3.865586281,2.827705145,5.320981026,15.47066784,79.43993378,4.630588531,1.107158661,1.194526434
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000613.19-055028.4.png,30.61064529,8.174985886,5.995757103,2.749467373,12.36018372,2.239624262,7.550869465,1.300675035,3.795575857,34.47717667,1.439514399,10.64701366,19.92054367,16.03222275,5.41972971,3.430973291,37.27922821,1.999053836,3.657111883,3.471978664,23.29024124,8.979053497,5.656966209,3.782991886,4.554244041,14.34323025,1.930510521,1.23046279,1.065755367,23.77470207,32.10065079,8.968029022,3.375952959,1.18164885
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000614.29+085316.0.png,3.075735092,58.13077927,2.609384775,3.021737099,52.52424622,25.93602943,1.146180749,1.929575682,5.381681919,3.490221262,1.000100613,1.063314557,20.26208878,90.79196167,4.675557137,1.212706447,14.76970387,4.344626427,2.278517962,14.95476437,26.11518669,4.032759666,5.234821796,2.80135107,1.042385936,21.29523277,2.413821697,1.082053304,1.000006676,4.077310562,32.40148544,9.231181145,2.252353668,1.189825296
/share/nas/walml/repos/understanding_galaxies/scaled_images/J000614.36-010847.1.png,73.70931244,6.938529491,14.685812,4.701477051,58.58491135,1.440381765,17.31285286,1.360088348,3.005061626,35.70665359,4.42945385,10.54815578,22.26528549,8.237487793,2.264323235,98.75082397,4.186707973,1.00095737,3.660121918,5.71026659,19.47105026,16.69188118,8.491810799,3.625600338,1.969783664,12.69878101,2.414596081,1.567600012,2.126916409,12.44630718,46.87573624,2.46983242,1.01285243,2.126769066
